project,class,max_complexity,sum_complexity,methods,baseline_line,panta_basic_line,panta_coverage_line,panta_line,symprompt_line,baseline_branch,lane_basic_branch,panta_coverage_branch,panta_branch,symprompt_branch
Lang-4f,FastDatePrinter,30,1,51,53.53,57.65,67.06,67.65,60.59,43.14,44.12,58.82,54.9,54.9
Lang-4f,HashCodeBuilder,11,1,31,8.44,72.08,79.22,81.17,76.62,8.16,54.08,63.27,66.33,61.22
Lang-4f,LocaleUtils,19,3.0,8,61.54,89.01,91.21,83.52,74.73,44.29,77.14,80.0,74.29,70.0
Lang-4f,FieldUtils,18,1.5,30,32.17,56.64,21.68,81.82,26.57,26.39,55.56,22.22,80.56,34.72
Lang-4f,ClassUtils,19,2,35,25.84,53.02,43.96,78.19,73.15,15.65,44.78,28.26,74.78,64.35
Lang-4f,RandomStringUtils,16,1,9,55.17,77.59,84.48,77.59,82.76,66.07,87.5,89.29,87.5,91.07
Lang-4f,CompareToBuilder,15,2,27,19.92,40.62,58.59,79.69,42.97,15.42,32.92,54.17,72.08,37.08
Lang-4f,ExtendedMessageFormat,11,1.0,8,0.0,74.19,80.65,61.83,45.16,0.0,53.15,62.16,45.05,25.23
Math-2f,Rotation,25,1.0,12,19.73,73.42,35.07,45.48,23.01,4.63,58.33,25.0,42.59,25.0
Math-2f,QRDecomposition,14,4.0,8,98.7,98.7,98.7,100.0,81.82,83.33,88.1,95.24,88.1,76.19
Math-2f,MillerUpdatingRegression,21,4,9,7.81,52.15,80.27,68.75,11.33,5.84,48.91,71.9,61.31,6.57
Math-2f,FastFourierTransformer,13,2,9,56.07,90.75,58.38,96.53,80.35,49.21,84.13,58.73,85.71,68.25
Math-2f,MathArrays,13,2.0,44,50.34,56.29,48.28,79.63,78.72,31.73,37.75,48.59,62.25,65.06
Math-2f,OpenIntToDoubleHashMap,15,3.5,10,51.59,53.5,77.71,72.61,42.68,45.59,45.59,55.88,50.0,26.47
Math-2f,MultiStartUnivariateOptimizer,12,2,3,0.0,43.14,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
Math-2f,GaussNewtonOptimizer,16,16,1,21.31,21.31,0.0,21.31,0.0,11.54,11.54,0.0,11.54,0.0
Math-2f,DfpMath,28,3.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Math-2f,SummaryStatistics,13,1,17,43.75,65.62,78.65,88.54,49.48,31.03,48.28,58.62,65.52,48.28
Math-2f,BracketingNthOrderBrentSolver,19,1,3,14.39,87.12,87.12,77.27,14.39,6.06,71.21,69.7,60.61,3.03
Math-2f,FieldLUDecomposition,12,4.0,8,0.0,100.0,0.0,97.56,0.0,0.0,90.74,0.0,88.89,0.0
Math-2f,Dfp,31,1.0,94,52.09,63.39,59.29,66.39,61.02,43.96,55.4,52.31,58.48,55.01
Math-2f,NaturalRanking,13,7.0,2,54.96,96.95,93.89,60.31,47.33,44.64,92.86,94.64,55.36,46.43
Math-2f,SmoothingPolynomialBicubicSplineInterpolator,13,13,1,96.0,100.0,100.0,92.0,96.0,87.5,93.75,93.75,81.25,87.5
Math-2f,BracketingNthOrderBrentSolverDFP,19,10.0,2,0.0,30.23,0.0,0.0,0.0,0.0,12.12,0.0,0.0,0.0
Math-2f,LUDecomposition,12,4.0,6,95.29,97.65,96.47,83.53,94.12,79.63,85.19,90.74,83.33,88.89
Math-2f,ArrayFieldVector,14,2.0,38,0.0,0.0,0.0,54.74,0.0,0.0,0.0,0.0,61.46,0.0
Math-2f,Beta,16,1.0,6,6.67,74.07,82.96,91.85,59.26,23.26,75.58,80.23,83.72,56.98
Math-2f,Frequency,11,1.0,32,73.65,87.84,93.24,89.19,27.7,53.57,69.64,78.57,80.36,26.79
Math-2f,BicubicSplineInterpolator,14,14,1,35.56,100.0,100.0,100.0,100.0,32.35,97.06,94.12,100.0,94.12
Math-2f,FastMath,29,2,59,31.55,58.04,52.77,69.54,83.98,12.18,34.72,32.38,48.96,66.71
Math-2f,RealMatrixFormat,16,2,5,15.09,33.96,92.45,91.51,71.7,0.0,0.0,79.55,77.27,68.18
Math-2f,ArithmeticUtils,14,4,25,32.62,58.54,62.8,81.4,78.35,26.19,54.37,54.37,73.02,75.0
Math-2f,TricubicSplineInterpolator,23,23,1,30.38,30.38,34.18,34.18,98.73,29.63,29.63,38.89,33.33,92.59
Math-2f,LoessInterpolator,16,2,3,30.17,89.66,90.52,92.24,88.79,25.0,71.15,78.85,88.46,73.08
Math-2f,SimpleRegression,13,2,21,19.91,65.37,63.2,90.04,27.71,8.06,38.71,40.32,81.45,21.77
Math-2f,MultivariateNormalMixtureExpectationMaximization,15,2.0,6,26.13,99.1,100.0,100.0,21.62,31.48,96.3,100.0,100.0,24.07
Math-2f,ProperBigFractionFormat,11,3,3,71.64,82.09,91.04,92.54,85.07,48.15,70.37,88.89,88.89,74.07
Math-2f,OrderedTuple,13,4,3,88.62,92.68,93.5,91.06,90.24,67.02,77.66,86.17,72.34,72.34
