project,class,complexity,category,methods,llama_line,llama_branch,gpt_line,gpt_branch,claude_line,claude_branch,mistral_line,mistral_branch
Lang-4f,DurationFormatUtils,20,,15,84.62,77.44,83.26,72.93,86.43,80.45,80.54,73.68
Lang-4f,AnnotationUtils,19,,4,28.07,26.09,47.37,38.04,50.88,43.48,14.91,17.39
Lang-4f,ObjectUtils,11,,30,82.81,91.46,82.81,87.8,88.28,95.12,85.16,91.46
Lang-4f,DateUtils,19,,54,77.74,56.42,65.48,47.25,62.9,56.88,24.84,21.1
Lang-4f,FastDatePrinter,30,,51,67.65,54.9,56.47,48.04,95.29,90.2,58.82,50.98
Lang-4f,HashCodeBuilder,11,,31,81.17,66.33,75.97,68.37,87.01,84.69,79.22,68.37
Lang-4f,LocaleUtils,19,,8,83.52,74.29,87.91,80.0,93.41,92.86,86.81,77.14
Lang-4f,FieldUtils,18,,30,81.82,80.56,43.36,47.22,85.31,91.67,65.73,73.61
Lang-4f,ClassUtils,19,,35,78.19,74.78,61.74,48.26,79.53,79.57,77.52,75.65
Lang-4f,RandomStringUtils,16,,9,77.59,87.5,86.21,91.07,82.76,91.07,81.03,78.57
Lang-4f,CompareToBuilder,15,,27,79.69,72.08,55.86,50.42,82.42,73.75,80.47,70.0
Lang-4f,ExtendedMessageFormat,11,e,8,61.83,45.05,75.27,53.15,84.95,66.67,75.81,54.05
Math-2f,Rotation,25,,12,45.48,42.59,39.73,48.15,81.64,59.26,43.01,50.93
Math-2f,QRDecomposition,14,,8,100.0,88.1,97.4,97.62,100.0,90.48,0.0,0.0
Math-2f,MillerUpdatingRegression,21,,9,68.75,61.31,0.0,0.0,88.09,83.21,0.0,0.0
Math-2f,FastFourierTransformer,13,,9,96.53,85.71,66.47,63.49,98.27,88.89,65.32,60.32
Math-2f,MathArrays,13,,44,79.63,62.25,39.36,39.36,28.83,25.3,54.46,63.05
Math-2f,OpenIntToDoubleHashMap,15,,10,72.61,50.0,68.15,55.88,74.52,66.18,73.89,51.47
Math-2f,MultiStartUnivariateOptimizer,12,e,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Math-2f,GaussNewtonOptimizer,16,e,1,21.31,11.54,21.31,11.54,98.36,92.31,18.03,11.54
Math-2f,DfpMath,28,,20,0.0,0.0,0.0,0.0,94.93,78.87,0.0,0.0
Math-2f,SummaryStatistics,13,,17,88.54,65.52,70.31,58.62,93.23,81.03,88.54,68.97
Math-2f,BracketingNthOrderBrentSolver,19,e,3,77.27,60.61,76.52,60.61,84.09,62.12,71.21,53.03
