project,class_name,max_complexity,qwen3-coder:30b_last_line_coverage,qwen3-coder:30b_last_branch_coverage,qwen3-coder:30b-q8_0_constraints_mcts_last_line_coverage,qwen3-coder:30b-q8_0_constraints_mcts_last_branch_coverage
Time-13f,ZoneInfoCompiler,18,0.0,0.0,0.0,0.0
Math-2f,FastFourierTransformer,13,61.27,50.79,0.0,0.0
Math-2f,LoessInterpolator,16,88.79,75.0,0.0,0.0
Cli-40f,PosixParser,11,72.46,48.08,66.67,59.62
Lang-4f,DurationFormatUtils,20,38.91,29.32,71.49,58.65
JacksonCore-26f,ReaderBasedJsonParser,30,0.76,0.0,0.76,0.0
JxPath-22f,BasicTypeConverter,32,26.67,24.53,13.39,12.26
JxPath-22f,Step,15,74.07,58.0,3.03,2.0
JacksonDatabind-112f,ObjectWriter,11,15.07,13.16,31.96,26.32
Jsoup-93f,NodeTraversor,12,56.06,50.0,57.58,52.17
Time-13f,DateTimeFormatterBuilder,30,44.27,36.89,81.77,69.9
Jsoup-93f,Tokeniser,18,38.22,27.66,61.15,45.74
